date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:12	38072/38072	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2012%20Feb%202017%2003:12:11%20GMT	https://innoculusteam.wordpress.com/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/index.html	(from )
14:12:13	104/104	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2012%20Feb%202017%2003:12:11%20GMT	https://innoculusteam.wordpress.com/robots.txt		(from )
14:12:13	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2012%20Feb%202017%2003:12:12%20GMT	https://innoculusteam.wordpress.com/xmlrpc.php	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/xmlrpc.php	(from https://innoculusteam.wordpress.com/)
14:12:13	12405/12405	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Feb%202017%2003:12:12%20GMT	https://s1.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/innoculus/s1.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://innoculusteam.wordpress.com/)
14:12:14	13904/13904	U--MCZ	200	updated ('OK')	application/rss+xml	date:Sun,%2012%20Feb%202017%2003:12:12%20GMT	https://innoculusteam.wordpress.com/feed/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/feed/index.html	(from https://innoculusteam.wordpress.com/)
14:12:14	20606/20606	U--MCZ	200	updated ('OK')	text/css	date:Sun,%2012%20Feb%202017%2003:12:13%20GMT	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1377793621h	C:/My%20Web%20Sites/innoculus/s1.wp.com/wp-content/mu-plugins/highlander-comments/style0196.css	(from https://innoculusteam.wordpress.com/)
14:12:14	866/866	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	https://innoculusteam.wordpress.com/comments/feed/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/comments/feed/index.html	(from https://innoculusteam.wordpress.com/)
14:12:14	890/890	U--MCZ	200	updated ('OK')	text/xml	date:Sun,%2012%20Feb%202017%2003:12:13%20GMT	https://innoculusteam.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/xmlrpc0db0.php	(from https://innoculusteam.wordpress.com/)
14:12:14	1467/1467	U--MCZ	200	updated ('OK')	application/xml	date:Sun,%2012%20Feb%202017%2003:12:13%20GMT	https://innoculusteam.wordpress.com/osd.xml	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/osd.xml	(from https://innoculusteam.wordpress.com/)
14:12:14	2209/2209	U-----	200	untouched ('')	image/png	date:Sat,%2011%20Feb%202017%2008:00:28%20GMT	https://innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon.png?w=32	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon76ca.png	(from https://innoculusteam.wordpress.com/)
14:12:14	20321/20321	U-----	200	untouched ('')	image/png	date:Sat,%2011%20Feb%202017%2008:00:28%20GMT	https://innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon.png?w=192	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon9939.png	(from https://innoculusteam.wordpress.com/)
14:12:15	18573/18573	U-----	200	untouched ('')	image/png	date:Sat,%2011%20Feb%202017%2008:00:28%20GMT	https://innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon.png?w=180	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-iconad83.png	(from https://innoculusteam.wordpress.com/)
14:12:15	11320/11320	U-----	200	untouched ('')	image/png	date:Sun,%2012%20Feb%202017%2001:44:57%20GMT	https://innoculusteam.files.wordpress.com/2017/02/innoculus-logo-2.png?w=327	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/innoculus-logo-2ed6a.png	(from https://innoculusteam.wordpress.com/)
